,as_of,account,posted_at,tweet_id,text
7356,16:17.3,TheSnowDreamer,30/12/2022 21:59,1.60895E+18,"Tweets like this are very annoying, I see them a lot. Nothing to do about being dramatic. The data doesn’t lie, it was very cold relatively mainly over a 10d period, it left its mark. 

Dec will be overall cold, but not by a significant margin thanks to a much milder 2nd half. https://t.co/UfVOlFU5uQ"
7357,16:17.3,TheSnowDreamer,30/12/2022 21:27,1.60894E+18,"Remember the festive-new year period last year? What a crushing that was. On cusp of a cold spell thwarted by Azores high. UK recorded its warmest NYE and its warmest NYD on record with 16.8 °C at Colwyn Bay, Conwy on 31 December 2021 and 16.3°C at SJP, C London on 1 January 2022 https://t.co/tcYLxMExCx"
7358,16:17.3,Petagna,30/12/2022 20:35,1.60892E+18,"A completely different #airmass N to S across the UK at the moment

Polar origins in the N
Tropical origins in the S

Saturday will be
Cold in the N
Very mild in the S https://t.co/QC37qbOSYf"
7359,16:17.3,TheSnowDreamer,30/12/2022 18:48,1.6089E+18,"This is interesting… ECM rolling out now a big blocking Arctic high near Svalbard, north of Scandinavia, this feature wasn’t there in previous run. Bitterly cold air rolling into eastern Europe. 

Models definitely getting much more interesting for those of a cold persuasion. https://t.co/gmwtBRj1Je"
7360,16:17.3,PvForecast,30/12/2022 18:39,1.6089E+18,very cold south #norway 1-1-23 @Veir_Geir @VaerTorsten #newyearsmorning https://t.co/niR5QhTbPG
7361,16:17.3,judah47,30/12/2022 18:18,1.60889E+18,Looks to me we're on track for another #PolarVortex stretching event for 2nd week of January that typically delivers more wintry weather to Eastern US but could there be more? Blog returns next week just in time for the official start of #winter (at least in #Boston) MLK weekend! https://t.co/dwWNJVT39D
7362,16:17.3,judah47,30/12/2022 18:03,1.60889E+18,"You know me always looking to #Siberia for clues about our weather. I had a rule of thumb, when it turns #cold east of the Urals, cold weather returns to the Eastern US in ~two week's time. It is just starting, but colder weather is spreading east of the Urals &amp; across Siberia. https://t.co/Sbvy6cmeX5"
7363,16:17.3,TheSnowDreamer,30/12/2022 17:41,1.60888E+18,"Europe is unseasonably mild a large area 10C above average but not everywhere is, Greenland and Iceland are very cold. 

Iceland the land of ice and fire…. unusually cold today, 15C below normal at end of December. 🥶 https://t.co/f3wAkHT3SM"
7364,16:17.3,PvForecast,30/12/2022 16:25,1.60886E+18,MJO and AO https://t.co/d1OW1rnVRs
7365,16:17.3,Petagna,30/12/2022 13:29,1.60882E+18,"#Metoffice yellow warnings updated

Warnings for #snow, #ice and #wind N
#Rain SW UK

#weatheraware https://t.co/rrx6GFxAvb"
7366,16:17.3,SimonLeeWx,30/12/2022 11:10,1.60878E+18,"Anomalous flow over North America in week 2 closely resembles the Pacific Trough weather regime, which on average brings the most widespread anomalously warm weather &amp; lowest risk of severe cold to the continent (of the 4 winter regimes - see Figs. 5 &amp; S4 https://t.co/kb8c2ysii7) https://t.co/zWYgiGbk3s"
7367,16:17.3,PvForecast,30/12/2022 7:06,1.60872E+18,#norway #newyearsday #winter https://t.co/OGoNjlulQ2
7368,16:17.3,PvForecast,30/12/2022 6:34,1.60871E+18,"Kijken of deze run ,die nu al paar keer voorbij is gekomen bij gfs ,ook lukt na 5 jan #winter https://t.co/0mY6UXujrH"
7369,16:17.3,TheSnowDreamer,29/12/2022 22:53,1.6086E+18,"This is really quite interesting two major global models ECMWF and GFS ensembles equally showing return of polar blocking &amp; possibly much colder conditions in Europe. 

Unusual to see such similarity in pattern considering it is 2 weeks out. Early days though but curious. https://t.co/XobIEKNQ0b"
7370,16:17.3,TWOweather,29/12/2022 17:40,1.60852E+18,"By toppiker60, Fine day but cold wind.., leek https://t.co/78W3Cuy2aN via @TWOWeather"
7371,16:17.3,TWOweather,29/12/2022 16:44,1.6085E+18,A few recent model runs have shown high pressure building to the northeast of the UK. At the moment they're not suggesting it will lead to a cold spell in the UK but it is perhaps worth watching https://t.co/KBV7B9X0ls
7372,16:17.3,PvForecast,29/12/2022 16:21,1.6085E+18,#scandinavie 1/1/2023 #winter https://t.co/wkOZqz5vT2
7373,16:17.3,PvForecast,29/12/2022 16:09,1.6085E+18,AO NAO and PNA forecast https://t.co/BqlriPi4wX
7374,16:17.3,NickJF75,29/12/2022 7:02,1.60836E+18,"Drone footage shows how freezing temperatures during the recent historic winter storm #Elliot formed ice sculptures out of buildings in upstate New York, USA. 

https://t.co/W0N7TlGK5n"
7375,16:17.3,PvForecast,29/12/2022 6:37,1.60835E+18,Change #WINTER https://t.co/WrpKEonRpk
7376,16:17.3,TheSnowDreamer,29/12/2022 0:02,1.60825E+18,"Repeated warmings on GFS 18z from Siberian side that’s more what you want to see, polar vortex on rope? Last winter the vortex went unimpeded it remained strong and powerful, I don’t think this one will be a repeat of that. https://t.co/qpALEDC4Mi"
7377,16:17.3,PvForecast,28/12/2022 21:04,1.60821E+18,"some hope for #winter lovers , it could be a pattern change 
just wait into #January2023  first week https://t.co/WCulCdSrZY"
7378,16:17.3,WeatherProf,28/12/2022 20:48,1.6082E+18,Ithaca can be quite magical during winter https://t.co/tbNsA8TU1K
7379,16:17.3,TheSnowDreamer,28/12/2022 18:39,1.60817E+18,"Forecast precipitation amounts in #California are really quite something to behold… right to south coast #LA

Such volume of rainfall can be expected across an entire year, but falling in over a week now that is extreme. We’re taking over 10ft of snow in Sierra Nevada mountains. https://t.co/GsHza7UH4s"
7380,16:17.3,PvForecast,26/12/2022 17:22,1.60743E+18,#ireland #UK #snow 30 #December2022 https://t.co/oA3naiQwsK
7381,16:17.3,TheSnowDreamer,28/12/2022 17:55,1.60816E+18,"The polar vortex is currently in its most fearsome state: concentric, cold and powerful, v hostile for cold in mid latitudes e.g. Europe.

Model forecasts suggest 🍩 is going to be squished a bit into early January, whether something of significance happens remains to be defined. https://t.co/4e31iMozgs"
7382,16:17.3,TheSnowDreamer,28/12/2022 17:16,1.60815E+18,"I don’t think we’re surprised at all, despite December will finish as a cold month. Not enough.

The last month cooler than average on older 1961-1990 baseline in U.K. was May 2021, I make that 18 consecutive months. This month will finally break that absurd run. https://t.co/d5SJvTxDJU"
7383,16:17.3,TheSnowDreamer,28/12/2022 16:19,1.60814E+18,"This is really anomalous in today’s global climate. NSW, SE Australia set to see 2 months in a row ~5C below 1991-2020 normal. Down under they are wondering what is happening to summer. Substantial stratospheric cooling in SH from Tonga 🌋could be responsible. V cold polar vortex https://t.co/45hVYaR7zM"
7384,16:17.3,SimonLeeWx,28/12/2022 16:17,1.60814E+18,"Upward-propagating wave activity in the Northern stratosphere is currently unusually low, resulting in a donut vortex 🍩 which is setting near all-time record cold temperatures at 10 hPa (~30 km) above the Arctic. https://t.co/hA195176x3"
7385,16:17.3,TWOweather,28/12/2022 12:45,1.60808E+18,Wet and windy start to 2023 but is the cold coming over the horizon? 14 ... https://t.co/tF2M1bDrMx via @YouTube
7386,16:17.3,PvForecast,28/12/2022 9:35,1.60803E+18,#Norway 28 #December 2022 #WINTER #snowday #snowfall https://t.co/O0TbQp6kaF
7387,16:17.3,MetRyan96,28/12/2022 8:39,1.60802E+18,"Morning all 

Well, this interesting period is looking dead 

Plenty of snow for Scottish mountains to come, but looking like a mild West/South Westerly into January 

Yuck https://t.co/IDvhgQssJA"
7388,16:17.3,Petagna,27/12/2022 23:47,1.60789E+18,"Continued interest regarding the #spv stratospheric polar vortex

Needs emphasising there is no clear #ssw signal currently, but hints of notable wave 1 energy soon propagating vertically &amp; atleast weakening the vortex

The extremely strong vortex now perhaps 'primed' for attack https://t.co/Dzph7Grt0g https://t.co/6zLPMxMhuJ"
7389,16:17.3,PvForecast,27/12/2022 21:14,1.60785E+18,#GoodNightTwitterWorld wave1 pv https://t.co/4h9kIBDjzR
7390,16:17.3,peacockreports,27/12/2022 20:09,1.60783E+18,"Looking ahead into Jan again, we seem to have lost a coherent MJO signal with forecast models suggesting a weak standing wave of sorts instead.

Despite being in the Pacific, it's not going to exert the same manner of forcing on weather patterns as a true propagating MJO... https://t.co/0Zrnb8AzMp"
7391,16:17.3,peacockreports,27/12/2022 20:06,1.60783E+18,"A New Year's Day UK weather modelling calamity!

GFS predicts a windstorm, very mild for all but far N.

ECMWF has a v. weak low crossing central UK - wet there with snow on high ground.

UKM runs a weak low across far S, mild &amp; wet there, chilly with few showers elsewhere.

😵‍💫 https://t.co/15DAMAHre2"
7392,16:17.3,PvForecast,25/12/2022 15:07,1.60703E+18,i watch around 5th #january2023  new AO blocking is the target #winter https://t.co/cNDzSRAAbu
7393,16:17.3,TheSnowDreamer,27/12/2022 19:52,1.60783E+18,The progression of January seems far from clear from my perspective. I wouldn’t expect January to start bitterly cold. Watching stratospheric developments closely. It’s really quite possible next few days are the height of polar vortex (winter killer) this winter. https://t.co/xGlGcMF0mc
7394,16:17.3,Met4CastUK,27/12/2022 19:05,1.60782E+18,"THREAD: Rest of winter;

The progression of January seems quite clear. Generally average/mild. Turning settled mid month onwards with HP likely to be to the E/SE. With no SSW, we'll eventually see the strat &amp; trop coupling and I suspect an increase in the jet stream into Feb 1/2"
7395,16:17.3,Petagna,27/12/2022 18:44,1.60781E+18,"N blocking earlier Dec may have helped weaken wind strength lower stratosphere
#SPV strat polar vortex now remarkably strong..may be helping strengthen tropospheric #jetstream, &amp; with #AO Arctic Oscillation trending more -ve than #NAO North Atlantic Osc, jet displaced S over UK https://t.co/R9VwSpriOr"
7396,16:17.3,NickJF75,27/12/2022 18:30,1.60781E+18,"Conveyor of lows lining up to bring #wind &amp; #rain to the UK for the rest of the week, one for Friday could bring gales and a spell of very wet weather (snow for Highlands). Friday's low will leave New Foundland tomorrow before crossing N Atl &amp; perhaps deepening on approach to UK https://t.co/2LYcpQeJhm"
7397,16:17.3,Met4CastUK,27/12/2022 17:47,1.6078E+18,"New Years Eve/New Years Day needs monitoring for two potential windy spells across the south &amp; north. 

Modelling has moved away from a more severe storm but strong winds could still potentially cause some problems. https://t.co/FTdL7RFQVj"
7398,16:17.3,PvForecast,27/12/2022 17:19,1.60779E+18,"west #Norway #vestlandet 20cm #snow within 1,5h"
7399,16:17.3,PvForecast,27/12/2022 16:07,1.60777E+18,latest AO NAO and PNA https://t.co/NEScVwFmZl
7400,16:17.3,Petagna,27/12/2022 15:59,1.60777E+18,"As #snow clears to leave #ice in the N #weatheraware, milder, wet and windy #weather is sweeping in from the SW elsewhere https://t.co/SsxyBTm6CE"
7401,16:17.3,Met4CastUK,27/12/2022 13:22,1.60773E+18,"It’s going to be a real struggle to get back to anything resembling a cold pattern from this. 

Increasing westerly momentum + the SPV residing over Greenland with no SSW = Big oof for cold fans. A win for those paying energy bills though! https://t.co/XZ0MngVIYA"
7402,16:17.3,PvForecast,27/12/2022 11:45,1.6077E+18,#ssw strong warming into strato #January https://t.co/0BbEioEr0o
7403,16:17.3,Petagna,27/12/2022 10:21,1.60768E+18,"#Metoffice yellow warnings for #snow, #ice and #rain issued 

#weatheraware https://t.co/uIWOpm7EiC"
7404,16:17.3,PvForecast,27/12/2022 6:54,1.60763E+18,#snow storm #norway today https://t.co/3amf03eHPy
7405,16:17.3,UKWX_,27/12/2022 6:39,1.60763E+18,"Some substantial hill snow expected today across Scotland, as for the rest gloomy, wet, and windy. https://t.co/eC2YqJA6dN"
7406,16:17.3,PvForecast,27/12/2022 6:22,1.60762E+18,Forecast pv #WINTER https://t.co/QOPdYVHwFl
7407,16:17.3,PvForecast,27/12/2022 6:16,1.60762E+18,Just waiting...#WINTER https://t.co/vuwonqN0hg
7408,16:17.3,TheSnowDreamer,26/12/2022 18:42,1.60745E+18,"With a strongly positive NAO this week this means an energised Atlantic/ jet stream. 

The American model for example has 2 compact windstorms affecting central/southern UK in very quick succession on Friday and Saturday morning. This will need to be watched carefully. https://t.co/ofeDVECko4"
7409,16:17.3,TheSnowDreamer,26/12/2022 18:23,1.60744E+18,"Anomalous warmth in first half of December in Greenland associated with -NAO block. 

That has faded, higher heights replaced by cyclonic polar vortex &amp; Greenland is now very cold. Temps approaching -60C (-76F) in interior. 

In winter, warm Greenland… cold Europe. Need flip! https://t.co/rTTddeSNcO"
7410,16:17.3,judah47,26/12/2022 15:10,1.60739E+18,My confidence in a stretched #PolarVortex is growing as predicted Ural blocking is more favorable and upwelling energy is now predicted to reflect downward. Colder weather in the Eastern US is becoming more likely after next week’s torch. https://t.co/T9qcaHJSMC
7411,16:17.3,peacockreports,26/12/2022 12:27,1.60735E+18,"The forecasts for the MJO have become increasingly ‘vague &amp; wandering’ since Friday. Sufficient forcing could occur to drive a ridge of high pressure right up to Scandinavia sometime 4th-10th Jan but it’s very ‘iffy’, prone to the high becoming stuck over Central Europe instead. https://t.co/fUVhfHKOZL"
7412,16:17.3,Met4CastUK,26/12/2022 10:59,1.60733E+18,"And the transition is complete. 

A largely mild &amp; zonal pattern for the next week or two, potential for a named storm too. Should turn more settled into the 2nd week of January. 

No sign of anything cold in the forecast. https://t.co/3APdNbwVIN https://t.co/ctz1dP8746"
7413,16:17.3,NickJF75,26/12/2022 10:41,1.60733E+18,"One extreme to the other. Years of extreme drought in California from lack of winter rains, but when the Pacific atmospheric river does come the amount of rainfall can be huge due to global warming=air holds more moisture leading to greater risk of flooding with the dry ground. https://t.co/DBAQ0zMwBA"
7414,16:17.3,Petagna,26/12/2022 10:16,1.60732E+18,"#Metoffice yellow warnings for #snow and #ice issued for today and tomorrow 

#weatheraware https://t.co/tjcrBp2MXG"
7415,16:17.3,MetRyan96,26/12/2022 10:15,1.60732E+18,"Morning all

Looks like a fresh coat of snow on the fells

Unfortunately I have work today, but I hope everyone has a good day 🙂 https://t.co/0VJlFWfLLN"
7416,16:17.3,TWOweather,26/12/2022 8:33,1.60729E+18,"There is a risk of a damaging storm later this week. Details are changing, but it is something to keep a close eye https://t.co/2XfGYgtzUF https://t.co/2Flitle4wu"
7417,16:17.3,PvForecast,25/12/2022 21:34,1.60713E+18,could be a heavy #snow event over #UK 31 #december https://t.co/FpusXUQ7IB
7418,16:17.3,PvForecast,25/12/2022 21:03,1.60712E+18,to all who wants to know a bit more of an #SSW #winter https://t.co/2imVHz7euD
7419,16:17.3,PvForecast,25/12/2022 20:57,1.60712E+18,Heatflux increase soon after start new year #ssw https://t.co/JesDVS59UV
7420,16:17.3,TheSnowDreamer,25/12/2022 17:48,1.60707E+18,"Rain now turning to snow in Scottish Highlands, making it a technical white Xmas. https://t.co/L3FdSRE7RO"
7421,16:17.3,PvForecast,25/12/2022 16:06,1.60705E+18,#storm is heading into west #Norway ... the first at the start of #winter here https://t.co/lEBBU3tLcy
7422,16:17.3,PvForecast,25/12/2022 14:30,1.60702E+18,change PV postion #SSW setup https://t.co/Kozs9HAui6
7423,16:17.3,PvForecast,25/12/2022 14:20,1.60702E+18,latest AO NAO and PNA #winter https://t.co/3bjSnnh4N2
7424,16:17.3,Petagna,25/12/2022 13:36,1.60701E+18,"Will be confirmed one way or 'tother by @metoffice at some point, but 'APPEARS' we may have a white #Christmas over high ground Scotland..#snow falling

Elsewhere across UK the overwhelming colour on rainfall radar &amp; colours on latest #temperature contour map gives hint..#GREEN! https://t.co/X8kIioilxd"
7425,16:17.3,Petagna,25/12/2022 9:37,1.60695E+18,"#Metoffice yellow warning for #snow and #ice updated 

#weatheraware https://t.co/tQ8zojo7sK"
7426,16:17.3,PvForecast,25/12/2022 9:06,1.60694E+18,PV warming forecast 5 jan 2023 start to maybe an #SSW https://t.co/e6YviwrUQJ
7427,16:17.3,PvForecast,25/12/2022 8:41,1.60693E+18,will it #split #winter #january2023 https://t.co/ubHjU1qAcc
7428,16:17.3,PvForecast,25/12/2022 7:45,1.60692E+18,#snow for #scotland #christmas https://t.co/uhNPq61FYI
7429,16:17.3,PvForecast,25/12/2022 7:35,1.60692E+18,north #ireland could see some #snow today incoming colder air https://t.co/qr5DRt2w7B
7430,16:17.3,PvForecast,25/12/2022 7:33,1.60692E+18,"#snow for #UK tomorrow , incoming #coldfront https://t.co/gcbKHyUIrR"
7431,16:17.3,PvForecast,24/12/2022 22:19,1.60678E+18,wow #january2023 #SSW https://t.co/DSuv2mLfvE
7432,16:17.3,Met4CastUK,24/12/2022 21:50,1.60677E+18,"Brutal cold across a large part of America at the moment following one of the coldest blasts in recorded USA history. 

Whilst no single event can be attributed to climate change, climate change does increase the likelihood of severe weather &amp; that can mean cold weather too. https://t.co/Det0iS2xWT"
7433,16:17.3,Petagna,24/12/2022 18:22,1.60672E+18,Not just the human population of N America feeling the effects of the extremely cold #weather at the moment...spare a thought for the cold blooded amongst us!.. normally   these 'cold stunned' creatures bounce back as soon as warmth returns.. https://t.co/MSFCLNM4dU
7434,16:17.3,TWOweather,24/12/2022 17:30,1.6067E+18,GFS 12z showing the possibility of a very nasty storm next Friday. Needs watchingv. https://t.co/yhI5R72Xk4 https://t.co/mcXzTKrtlR
7435,16:17.3,TheSnowDreamer,24/12/2022 17:12,1.6067E+18,"The polar vortex has been largely undisturbed so far this winter, recent long range forecasts from GFS suggest this might change in week 1/2 of January. A weaker and warmer PV is correlated with higher chance of severe cold air outbreaks in mid latitudes e.g. Europe &amp; N America. https://t.co/RjfPNqixHq"
7436,16:17.3,Petagna,24/12/2022 17:00,1.6067E+18,"Hints the descending W'ly phase of the #QBO Quasi Biennial Oscillation...winds in stratosphere above Equator...could be waning, with strength of W'ly component weakening through the column

A descending W'ly QBO tends to favour milder #weather patterns for UK during our #winter https://t.co/fwLE9fxFQ0"
7437,16:17.3,TheSnowDreamer,24/12/2022 16:46,1.60669E+18,Once upon a time it was called “winter weather”. And I thought we were meant to be concerned about the warm not the cold? The position seems very inconsistent. https://t.co/D7XkJwh4vx
7438,16:17.3,PvForecast,24/12/2022 15:41,1.60668E+18,"fokus on 5-7 jan #europe 
alot into details later on this #winter https://t.co/2nbIUYHkCa"
7439,16:17.3,PvForecast,24/12/2022 15:10,1.60667E+18,wave1 PV quick strenghten after #newyearsday #WinterIsComing https://t.co/F1GfN3eKlY
7440,16:17.3,WeatherProf,24/12/2022 14:24,1.60666E+18,Love this. Sound Effect snow blanketing Martha’s Vineyard this morning. https://t.co/UqTTcJxkAR
7441,16:17.3,PvForecast,24/12/2022 14:24,1.60666E+18,AO NAO and PNA #winter https://t.co/Cb5GrFWx6t
7442,16:17.3,PvForecast,24/12/2022 13:35,1.60664E+18,"Good weekend to everone around the world , a SSW could be happen next month 
next week im a bit busy to other things but i watch the charts 
#winter https://t.co/AgQgn2jicn"
7443,16:17.3,PvForecast,24/12/2022 13:29,1.60664E+18,#january2023 #secondround MJO forecast #winter https://t.co/kX35gXGGh2
7444,16:17.3,WeatherProf,24/12/2022 12:18,1.60663E+18,"Good, cold Christmas Eve to you! Here are your current temps. Wind chills are ~ 7 degrees below these numbers. @WFLA https://t.co/Eu1wrihaje"
7445,16:17.3,WeatherProf,24/12/2022 12:12,1.60662E+18,"This is text book cold front. Notice the surface cold air is so dense, heavy -“and fast moving it undercuts. https://t.co/tUmeUCoGzH"
7446,16:17.3,PvForecast,24/12/2022 11:06,1.60661E+18,"PV ideas 5,6,7,8 Jan2023 #winter #ssw https://t.co/gWx1dtBsT9"
7447,16:17.3,NickJF75,24/12/2022 10:58,1.60661E+18,"Pretty darn cold to start Christmas Eve 🥶over the pond across most of the USA and Canada. Even the normally balmy Florida 🌴 has temperatures below freezing inland (those poor Iguanas! 🦎), -4.3C in the northwest of the state. https://t.co/3cDPXO8KTU"
7448,16:17.3,PvForecast,24/12/2022 10:54,1.6066E+18,#January2023 forecast #winter #europe https://t.co/RgyJwh7OiU
7449,16:17.3,PvForecast,24/12/2022 10:47,1.6066E+18,#iceland #winter see that https://t.co/1DNOrvgwLO
7450,16:17.3,Petagna,24/12/2022 10:35,1.6066E+18,"An unsettled end to 2022 ahead, with spells of wet and windy #weather for the UK

Brief cold incursions from the N likely to bring some wintriness, chiefly to the N #weatheraware, otherwise it generally looks to be a green #Christmas #Christmas2022 https://t.co/VpvXgQclHt"
7451,16:17.3,PvForecast,24/12/2022 9:44,1.60659E+18,24th #December #winter #WinterWonderland #norge https://t.co/ToByZdiNhF
7452,16:17.3,PvForecast,24/12/2022 9:16,1.60658E+18,#winter #January2023 forecast zonal m/s forecast #SSW ahead @judah47 @MeteoMark https://t.co/UZJz3IO4z0
7453,16:17.3,PvForecast,24/12/2022 9:03,1.60658E+18,the PV forecast is an poss SSW needs to see more for the details #winter https://t.co/h0Vcr9Inm9
7454,16:17.3,PvForecast,24/12/2022 8:52,1.60657E+18,PV watch : 5 jan 2023 starting day to maybe an #SSW #PolarVortex #winter https://t.co/jmuUFAIAUT
7455,16:17.3,TWOweather,24/12/2022 7:31,1.60655E+18,"The GFS operational run shows high pressure building to the north by 07/01/23. The signal from the ensemble suite is a mild one, particularly at the 850hPa level level, but even at ground level it doesn't look cold. Other locations here https://t.co/4kPpsDIpWb https://t.co/dR60oeB3YT"
7456,16:17.3,NickJF75,24/12/2022 6:56,1.60654E+18,"Over 25F temperature drop in 30 minutes across the High Plains of SE Wyoming, E Colorado to Texas Panhandle December 21-22 ... as the sharp arctic cold front passed through. https://t.co/GQPdfWiekQ"
7457,16:17.3,PvForecast,23/12/2022 21:14,1.6064E+18,"from @judah47  a mild pattern for the NH will is all but inevitable.  This isn’t a short term (on the order of days or a week) pattern flip, it will take time to generate more widespread colder weather,  not sure if it will come in the form of a stretched PV or an SSW. https://t.co/tWnMs5Sc3b"
7458,16:17.3,judah47,23/12/2022 20:56,1.60639E+18,"Good news for my forecast that MLK weekend is the official start of winter, it's looking on track as January begins quite mild across the hemisphere. But I do see signs that the winds are a changin' &amp; in some unexpected places. Quick blog update &amp; public: https://t.co/Gg8N2KHLUk https://t.co/JAtlZwZfsB"
7459,16:17.3,judah47,23/12/2022 18:10,1.60635E+18,"Was impressed with the context and background provided in this article from @ssdance in the @washingtonpost on the debate on whether there is a physical connection between Arctic warming &amp; extreme #cold in the US with a pathway through the #polarvortex:
https://t.co/OkzEpMgg9W"
7460,16:17.3,judah47,23/12/2022 18:04,1.60635E+18,The severe #winter weather this week in the US has heated up the debate about whether accelerated #Arctic warming can contribute to more severe winter weather? A very nice article laying out the arguments from both sides in @nytclimate from @henryfountain: https://t.co/0zrTZOLKGi
7461,16:17.3,PvForecast,23/12/2022 17:06,1.60634E+18,"#secondround #winter #january2023 
just some ideas ....for now have a nice evening all https://t.co/ip8veZgWhk"
7462,16:17.3,WeatherProf,23/12/2022 16:57,1.60633E+18,Cold front passing Tampa a couple of hours ago. https://t.co/ovzCK4IzUg
7463,16:17.3,NickJF75,23/12/2022 16:52,1.60633E+18,My look at Winter Storm #Elliott bringing extreme arctic cold to large parts of the USA along with blizzard conditions in the northeast https://t.co/lwBBp1BIdr
7464,16:17.3,NickJF75,23/12/2022 16:42,1.60633E+18,"Very cold air at the surface following arctic front sweeping east over eastern USA creating steam fog on  the relatively warmer Ohio River in Cincinnati, OH, USA. https://t.co/oQRgVgIqXa"
7465,16:17.3,PvForecast,23/12/2022 15:31,1.60631E+18,the most terrible chart to #winter below 60N NH #Europe https://t.co/RGzsnw73Ci
